LAC2020,LAN2020,DECILE1,DECILE2,DECILE3,DECILE4,DECILE5,DECILE6,DECILE7,DECILE8,DECILE9,DECILE10,LSOA_TOT,PCT1,PCT2,PCT3,PCT4,PCT5,PCT6,PCT7,PCT8,PCT9,PCT10,PCT_TOT
E07000076,Tendring,16,11,11,19,11,12,5,3,1,0,89,18.0,12.4,12.4,21.3,12.4,13.5,5.6,3.4,1.1,0.0,100.0
E07000077,Uttlesford,0,0,0,0,1,5,9,10,13,8,46,0.0,0.0,0.0,0.0,2.2,10.9,19.6,21.7,28.3,17.4,100.0
E07000078,Cheltenham,2,6,6,6,3,6,5,6,14,21,75,2.7,8.0,8.0,8.0,4.0,8.0,6.7,8.0,18.7,28.0,100.0
E07000079,Cotswold,0,0,0,2,2,10,9,11,9,8,51,0.0,0.0,0.0,3.9,3.9,19.6,17.6,21.6,17.6,15.7,100.0
E07000080,Forest of Dean,1,0,4,7,9,13,11,5,0,0,50,2.0,0.0,8.0,14.0,18.0,26.0,22.0,10.0,0.0,0.0,100.0
E07000081,Gloucester,9,12,4,5,7,10,5,9,12,5,78,11.5,15.4,5.1,6.4,9.0,12.8,6.4,11.5,15.4,6.4,100.0
E07000082,Stroud,0,0,3,2,4,6,13,9,17,15,69,0.0,0.0,4.3,2.9,5.8,8.7,18.8,13.0,24.6,21.7,100.0
E07000083,Tewkesbury,0,1,1,3,6,5,4,10,10,10,50,0.0,2.0,2.0,6.0,12.0,10.0,8.0,20.0,20.0,20.0,100.0
E07000084,Basingstoke and Deane,0,1,8,11,8,8,12,16,18,27,109,0.0,0.9,7.3,10.1,7.3,7.3,11.0,14.7,16.5,24.8,100.0
E07000085,East Hampshire,0,0,1,5,2,6,9,13,21,15,72,0.0,0.0,1.4,6.9,2.8,8.3,12.5,18.1,29.2,20.8,100.0
E07000086,Eastleigh,0,1,3,3,3,8,6,10,17,26,77,0.0,1.3,3.9,3.9,3.9,10.4,7.8,13.0,22.1,33.8,100.0
E07000087,Fareham,0,0,3,2,3,5,3,13,19,25,73,0.0,0.0,4.1,2.7,4.1,6.8,4.1,17.8,26.0,34.2,100.0
E07000088,Gosport,1,7,7,5,9,3,8,2,8,3,53,1.9,13.2,13.2,9.4,17.0,5.7,15.1,3.8,15.1,5.7,100.0
E07000089,Hart,0,0,0,0,0,3,1,5,10,38,57,0.0,0.0,0.0,0.0,0.0,5.3,1.8,8.8,17.5,66.7,100.0
E07000090,Havant,6,17,4,4,6,8,7,10,10,6,78,7.7,21.8,5.1,5.1,7.7,10.3,9.0,12.8,12.8,7.7,100.0
E07000091,New Forest,0,3,4,7,13,16,13,21,14,23,114,0.0,2.6,3.5,6.1,11.4,14.0,11.4,18.4,12.3,20.2,100.0
E07000092,Rushmoor,0,3,6,5,8,4,10,4,10,8,58,0.0,5.2,10.3,8.6,13.8,6.9,17.2,6.9,17.2,13.8,100.0
E07000093,Test Valley,0,1,3,3,5,6,18,8,6,21,71,0.0,1.4,4.2,4.2,7.0,8.5,25.4,11.3,8.5,29.6,100.0
E07000094,Winchester,0,0,1,3,5,4,10,9,13,25,70,0.0,0.0,1.4,4.3,7.1,5.7,14.3,12.9,18.6,35.7,100.0
E07000095,Broxbourne,0,3,7,6,8,10,6,7,8,1,56,0.0,5.4,12.5,10.7,14.3,17.9,10.7,12.5,14.3,1.8,100.0
E07000096,Dacorum,0,3,3,10,10,11,11,8,14,24,94,0.0,3.2,3.2,10.6,10.6,11.7,11.7,8.5,14.9,25.5,100.0
E07000098,Hertsmere,1,0,4,5,9,8,8,7,8,12,62,1.6,0.0,6.5,8.1,14.5,12.9,12.9,11.3,12.9,19.4,100.0
E07000099,North Hertfordshire,0,2,3,4,6,13,7,11,14,22,82,0.0,2.4,3.7,4.9,7.3,15.9,8.5,13.4,17.1,26.8,100.0
E07000102,Three Rivers,0,1,0,2,7,6,2,5,8,22,53,0.0,1.9,0.0,3.8,13.2,11.3,3.8,9.4,15.1,41.5,100.0
E07000103,Watford,0,1,3,9,7,8,7,7,4,7,53,0.0,1.9,5.7,17.0,13.2,15.1,13.2,13.2,7.5,13.2,100.0
E07000105,Ashford,1,9,4,8,14,12,10,9,10,1,78,1.3,11.5,5.1,10.3,17.9,15.4,12.8,11.5,12.8,1.3,100.0
E07000106,Canterbury,2,11,6,4,11,11,14,12,11,8,90,2.2,12.2,6.7,4.4,12.2,12.2,15.6,13.3,12.2,8.9,100.0
E07000107,Dartford,1,6,3,8,10,8,7,4,7,4,58,1.7,10.3,5.2,13.8,17.2,13.8,12.1,6.9,12.1,6.9,100.0
E07000108,Dover,5,7,6,9,16,4,8,7,4,1,67,7.5,10.4,9.0,13.4,23.9,6.0,11.9,10.4,6.0,1.5,100.0
E07000109,Gravesham,2,10,6,10,4,8,10,4,8,2,64,3.1,15.6,9.4,15.6,6.3,12.5,15.6,6.3,12.5,3.1,100.0
E07000110,Maidstone,2,4,8,8,15,13,10,9,9,17,95,2.1,4.2,8.4,8.4,15.8,13.7,10.5,9.5,9.5,17.9,100.0
E07000111,Sevenoaks,0,2,2,3,7,12,11,13,5,19,74,0.0,2.7,2.7,4.1,9.5,16.2,14.9,17.6,6.8,25.7,100.0
E07000112,Folkestone and Hythe,4,11,12,6,10,8,8,5,2,1,67,6.0,16.4,17.9,9.0,14.9,11.9,11.9,7.5,3.0,1.5,100.0
E07000113,Swale,16,6,9,13,14,8,9,5,3,2,85,18.8,7.1,10.6,15.3,16.5,9.4,10.6,5.9,3.5,2.4,100.0
E07000114,Thanet,18,11,8,14,11,6,8,7,0,1,84,21.4,13.1,9.5,16.7,13.1,7.1,9.5,8.3,0.0,1.2,100.0
E07000115,Tonbridge and Malling,0,3,3,5,6,8,12,9,10,16,72,0.0,4.2,4.2,6.9,8.3,11.1,16.7,12.5,13.9,22.2,100.0
E07000116,Tunbridge Wells,0,1,1,4,4,11,10,8,13,16,68,0.0,1.5,1.5,5.9,5.9,16.2,14.7,11.8,19.1,23.5,100.0
E07000117,Burnley,23,8,8,5,3,3,4,5,1,0,60,38.3,13.3,13.3,8.3,5.0,5.0,6.7,8.3,1.7,0.0,100.0
E07000118,Chorley,3,5,5,7,4,4,7,11,13,7,66,4.5,7.6,7.6,10.6,6.1,6.1,10.6,16.7,19.7,10.6,100.0
E07000119,Fylde,2,2,2,5,6,6,10,5,8,5,51,3.9,3.9,3.9,9.8,11.8,11.8,19.6,9.8,15.7,9.8,100.0
E07000120,Hyndburn,14,11,8,3,3,2,6,3,2,0,52,26.9,21.2,15.4,5.8,5.8,3.8,11.5,5.8,3.8,0.0,100.0
E07000121,Lancaster,13,8,11,7,7,12,13,8,5,5,89,14.6,9.0,12.4,7.9,7.9,13.5,14.6,9.0,5.6,5.6,100.0
E07000122,Pendle,18,4,7,8,4,4,4,6,2,0,57,31.6,7.0,12.3,14.0,7.0,7.0,7.0,10.5,3.5,0.0,100.0
E07000123,Preston,16,21,11,9,4,1,4,8,7,5,86,18.6,24.4,12.8,10.5,4.7,1.2,4.7,9.3,8.1,5.8,100.0
E07000124,Ribble Valley,0,0,0,1,3,6,5,5,12,8,40,0.0,0.0,0.0,2.5,7.5,15.0,12.5,12.5,30.0,20.0,100.0
E07000125,Rossendale,6,4,10,5,4,3,4,2,3,2,43,14.0,9.3,23.3,11.6,9.3,7.0,9.3,4.7,7.0,4.7,100.0
E07000126,South Ribble,3,0,8,5,8,7,7,10,9,13,70,4.3,0.0,11.4,7.1,11.4,10.0,10.0,14.3,12.9,18.6,100.0
E07000127,West Lancashire,6,8,3,5,6,8,7,8,12,10,73,8.2,11.0,4.1,6.8,8.2,11.0,9.6,11.0,16.4,13.7,100.0
E07000128,Wyre,10,2,3,8,6,8,13,10,9,0,69,14.5,2.9,4.3,11.6,8.7,11.6,18.8,14.5,13.0,0.0,100.0
E07000129,Blaby,0,0,0,1,9,5,9,15,9,12,60,0.0,0.0,0.0,1.7,15.0,8.3,15.0,25.0,15.0,20.0,100.0
E07000130,Charnwood,2,2,7,4,6,11,16,16,16,19,99,2.0,2.0,7.1,4.0,6.1,11.1,16.2,16.2,16.2,19.2,100.0
E07000131,Harborough,0,0,1,1,0,3,2,15,7,18,47,0.0,0.0,2.1,2.1,0.0,6.4,4.3,31.9,14.9,38.3,100.0
E07000132,Hinckley and Bosworth,0,1,5,4,10,3,10,10,13,10,66,0.0,1.5,7.6,6.1,15.2,4.5,15.2,15.2,19.7,15.2,100.0
E07000133,Melton,0,0,2,2,1,5,5,3,6,6,30,0.0,0.0,6.7,6.7,3.3,16.7,16.7,10.0,20.0,20.0,100.0
E07000134,North West Leicestershire,2,0,2,8,5,4,12,11,9,5,58,3.4,0.0,3.4,13.8,8.6,6.9,20.7,19.0,15.5,8.6,100.0
E07000135,Oadby and Wigston,0,0,5,2,2,3,4,3,13,4,36,0.0,0.0,13.9,5.6,5.6,8.3,11.1,8.3,36.1,11.1,100.0
E07000136,Boston,1,3,10,7,2,5,3,4,1,0,36,2.8,8.3,27.8,19.4,5.6,13.9,8.3,11.1,2.8,0.0,100.0
E07000137,East Lindsey,13,16,13,14,5,5,8,3,4,0,81,16.0,19.8,16.0,17.3,6.2,6.2,9.9,3.7,4.9,0.0,100.0
E07000138,Lincoln,10,9,7,5,5,6,6,6,3,0,57,17.5,15.8,12.3,8.8,8.8,10.5,10.5,10.5,5.3,0.0,100.0
E07000139,North Kesteven,0,0,3,5,5,5,7,13,16,10,64,0.0,0.0,4.7,7.8,7.8,7.8,10.9,20.3,25.0,15.6,100.0
E07000140,South Holland,0,1,3,11,8,11,7,4,4,0,49,0.0,2.0,6.1,22.4,16.3,22.4,14.3,8.2,8.2,0.0,100.0
E07000141,South Kesteven,1,2,4,7,4,10,12,10,15,16,81,1.2,2.5,4.9,8.6,4.9,12.3,14.8,12.3,18.5,19.8,100.0
E07000142,West Lindsey,4,5,3,5,7,7,6,4,8,3,52,7.7,9.6,5.8,9.6,13.5,13.5,11.5,7.7,15.4,5.8,100.0
E07000143,Breckland,1,6,9,5,19,18,9,8,3,0,78,1.3,7.7,11.5,6.4,24.4,23.1,11.5,10.3,3.8,0.0,100.0
E07000144,Broadland,0,0,0,4,10,12,14,15,18,11,84,0.0,0.0,0.0,4.8,11.9,14.3,16.7,17.9,21.4,13.1,100.0
E07000145,Great Yarmouth,15,8,9,6,7,10,3,1,2,0,61,24.6,13.1,14.8,9.8,11.5,16.4,4.9,1.6,3.3,0.0,100.0
E07000146,King's Lynn and West Norfolk,7,6,14,17,20,12,5,2,4,2,89,7.9,6.7,15.7,19.1,22.5,13.5,5.6,2.2,4.5,2.2,100.0
E07000147,North Norfolk,0,2,9,16,16,13,4,1,1,0,62,0.0,3.2,14.5,25.8,25.8,21.0,6.5,1.6,1.6,0.0,100.0
E07000148,Norwich,17,16,8,15,2,6,3,6,3,7,83,20.5,19.3,9.6,18.1,2.4,7.2,3.6,7.2,3.6,8.4,100.0
E07000149,South Norfolk,0,0,0,8,10,15,19,13,8,8,81,0.0,0.0,0.0,9.9,12.3,18.5,23.5,16.0,9.9,9.9,100.0
E07000150,Corby,4,8,10,2,6,2,3,4,2,0,41,9.8,19.5,24.4,4.9,14.6,4.9,7.3,9.8,4.9,0.0,100.0
E07000151,Daventry,1,0,2,3,1,8,7,8,10,4,44,2.3,0.0,4.5,6.8,2.3,18.2,15.9,18.2,22.7,9.1,100.0
E07000152,East Northamptonshire,0,2,6,1,2,10,4,10,5,9,49,0.0,4.1,12.2,2.0,4.1,20.4,8.2,20.4,10.2,18.4,100.0
